Student ID,Student Name,Class,Section,Term,Maths,Science,Social Science,English,Hindi,Marks Score,Total Marks,Percentage,Result
S339,Ches Viner,11,A,Term 2,32,45,83,87,87,334,500,66.8,Pass
S193,Jack Eliaz,9,B,Term 2,56,83,28,62,88,317,500,63.4,Pass
S820,Abbey Stockford,4,B,Term 2,76,97,85,59,68,385,500,77,Pass
S622,Sibbie O'Dyvoy,2,A,Term 1,53,59,55,76,74,317,500,63.4,Pass
S259,Kingsley Do Rosario,3,B,Term 2,78,96,87,92,81,434,500,86.8,Pass
S723,Anthiathia Corcoran,8,A,Term 1,83,90,62,86,82,403,500,80.6,Pass
S281,Velvet Keeling,2,A,Term 2,50,22,67,82,63,284,500,56.8,Pass
S466,Nicol Maxfield,9,B,Term 1,90,53,27,84,39,293,500,58.6,Pass
S294,Betty Ginnally,12,A,Term 2,70,75,28,51,23,247,500,49.4,Pass
S102,Huntlee Presdee,1,A,Term 2,66,73,77,46,42,304,500,60.8,Pass
S960,Maxy Broke,3,A,Term 2,31,72,42,56,90,291,500,58.2,Pass
S169,Sergio Dafter,8,A,Term 1,28,13,20,21,45,127,500,25.4,Fail
S664,Randolf Keetley,11,A,Term 1,26,68,84,86,39,303,500,60.6,Pass
S179,Shem Davidescu,5,B,Term 2,94,50,68,80,23,315,500,63,Pass
S221,Jefferey Weinham,7,A,Term 2,47,76,94,87,30,334,500,66.8,Pass
S475,Ade Spiby,10,A,Term 1,59,34,61,24,79,257,500,51.4,Pass
S483,Delora Caston,5,A,Term 2,43,86,82,87,89,387,500,77.4,Pass
S302,Jerrilyn Presdee,8,B,Term 1,43,98,99,30,69,339,500,67.8,Pass
S669,Claudelle Gair,11,B,Term 2,26,45,66,49,94,280,500,56,Pass
S269,Clarette Sparrow,10,B,Term 2,93,39,20,51,37,240,500,48,Pass
S556,Gertrude Glen,11,B,Term 2,50,21,81,43,54,249,500,49.8,Pass
S796,Gwenette Stanistreet,7,A,Term 2,71,60,85,72,76,364,500,72.8,Pass
S143,Luther Yarnley,4,B,Term 1,31,73,93,78,38,313,500,62.6,Pass
S182,Rooney Curl,3,A,Term 2,27,92,54,83,93,349,500,69.8,Pass
S660,Corrianne Alexandrou,5,A,Term 2,91,56,87,65,57,356,500,71.2,Pass
S072,Jacinda Doidge,1,B,Term 2,78,87,83,90,40,378,500,75.6,Pass
S820,Meredith McGaughay,5,A,Term 1,80,42,33,45,28,228,500,45.6,Pass
S297,Saidee Laffan,3,B,Term 1,61,20,41,29,85,236,500,47.2,Pass
S695,Dorelle Oury,6,A,Term 2,19,13,44,25,39,140,500,28,Fail
S956,Franny Reyne,7,A,Term 2,43,63,54,69,70,299,500,59.8,Pass
S887,Wendye Orta,9,A,Term 1,76,66,80,37,49,308,500,61.6,Pass
S803,Martelle Pietrowski,6,A,Term 1,96,90,37,49,59,331,500,66.2,Pass
S635,Gae Dugood,10,B,Term 1,29,65,74,71,30,269,500,53.8,Pass
S993,Klemens Erie,9,B,Term 2,93,39,46,79,94,351,500,70.2,Pass
S216,Tedie Doles,10,B,Term 2,98,16,47,24,80,265,500,53,Pass
S259,Piotr Gotobed,9,B,Term 2,88,92,89,23,79,371,500,74.2,Pass
S993,Farrah Aistrop,9,A,Term 2,93,70,60,33,95,351,500,70.2,Pass
S269,Kelley Albro,5,B,Term 2,89,64,72,60,41,326,500,65.2,Pass
S230,Wynnie Adamthwaite,12,B,Term 1,22,75,23,44,28,192,500,38.4,Pass
S667,Farand Peche,8,A,Term 1,94,51,77,76,76,374,500,74.8,Pass
S485,Orelie Frigout,4,B,Term 1,29,68,51,79,24,251,500,50.2,Pass
S860,Hanni Surmeyers,9,A,Term 2,67,63,34,50,41,255,500,51,Pass
S147,Natassia Tropman,12,B,Term 1,28,69,62,45,85,289,500,57.8,Pass
S433,Bettine McKinna,9,B,Term 1,22,95,98,82,93,390,500,78,Pass
S494,Thomasina Daniellot,4,B,Term 1,65,78,18,78,50,289,500,57.8,Pass
S029,Em Tebb,11,A,Term 1,40,19,52,61,45,217,500,43.4,Pass
S952,Rollie Gravy,5,A,Term 2,81,59,53,34,58,285,500,57,Pass
S968,Alasdair Loomis,1,B,Term 2,70,96,52,38,42,298,500,59.6,Pass
S190,Victoir Bracknall,5,B,Term 2,27,20,95,74,53,269,500,53.8,Pass
S447,Hughie Saxton,2,A,Term 1,49,92,57,87,71,356,500,71.2,Pass
S197,Byron Monaghan,1,A,Term 2,91,55,52,62,41,301,500,60.2,Pass
S983,Sid Wissby,3,B,Term 2,57,65,87,54,33,296,500,59.2,Pass
S873,Sharl Tantrum,5,A,Term 2,32,17,74,82,33,238,500,47.6,Pass
S153,Annice Neames,9,A,Term 2,34,25,94,41,69,263,500,52.6,Pass
S407,Baudoin Dyhouse,7,A,Term 1,32,89,77,28,78,304,500,60.8,Pass
S963,Ignatius Hildrew,7,A,Term 2,38,45,23,85,81,272,500,54.4,Pass
S955,Stanton Goare,5,A,Term 1,28,62,46,95,41,272,500,54.4,Pass
S205,Melina Weekes,3,B,Term 2,35,49,98,87,57,326,500,65.2,Pass
S100,Rupert Jewitt,4,B,Term 1,18,78,72,34,87,289,500,57.8,Pass
S245,Marsh Dutnell,1,B,Term 1,40,26,44,53,79,242,500,48.4,Pass
S203,Alvera Stranahan,12,B,Term 2,79,59,26,37,75,276,500,55.2,Pass
S662,Herbie Cuell,4,A,Term 1,37,45,21,94,83,280,500,56,Pass
S580,Neala Griffey,12,A,Term 1,16,15,89,55,49,224,500,44.8,Pass
S566,Josey Splevin,9,A,Term 1,37,28,36,41,60,202,500,40.4,Pass
S948,Adiana Garlett,11,A,Term 2,94,83,37,24,28,266,500,53.2,Pass
S206,Wolfie Formby,10,A,Term 2,18,14,32,80,80,224,500,44.8,Pass
S886,Clerkclaude Greenrodd,1,B,Term 1,94,34,29,44,86,287,500,57.4,Pass
S206,Catlee Gundry,2,B,Term 2,91,52,75,80,32,330,500,66,Pass
S061,Amandie Votier,3,B,Term 2,55,47,54,92,86,334,500,66.8,Pass
S506,Jaimie Glennie,3,A,Term 2,72,18,52,34,39,215,500,43,Pass
S968,Gerti Phidgin,3,A,Term 1,17,83,60,45,27,232,500,46.4,Pass
S928,Marisa Wapol,10,B,Term 1,72,20,59,93,31,275,500,55,Pass
S891,Ethelind Thayre,11,B,Term 1,71,98,18,74,69,330,500,66,Pass
S690,Corby Le Guin,7,A,Term 1,55,32,55,74,29,245,500,49,Pass
S340,Emmanuel Meaton,4,A,Term 2,16,28,21,64,55,184,500,36.8,Pass
S433,Nichol Ellery,2,B,Term 1,50,18,39,27,72,206,500,41.2,Pass
S290,Herold Schechter,2,B,Term 2,29,72,37,25,47,210,500,42,Pass
S953,Ly Rust,2,A,Term 2,49,94,45,96,54,338,500,67.6,Pass
S454,Hedwig Serle,11,A,Term 1,75,79,83,35,56,328,500,65.6,Pass
S551,Mal Livingstone,10,A,Term 1,64,20,82,69,82,317,500,63.4,Pass
S560,Normand Peirson,5,A,Term 1,85,36,60,57,49,287,500,57.4,Pass
S370,Winny Drinkel,9,A,Term 1,64,36,47,26,59,232,500,46.4,Pass
S716,Andie Dupey,8,B,Term 1,49,58,94,27,45,273,500,54.6,Pass
S795,Nichols Inge,2,B,Term 1,87,35,88,40,32,282,500,56.4,Pass
S173,Fiona Gilliver,8,A,Term 1,39,84,44,78,68,313,500,62.6,Pass
S159,Tami Naisbitt,11,A,Term 2,87,89,77,31,65,349,500,69.8,Pass
S766,Shaun Samways,3,A,Term 2,25,90,61,79,82,337,500,67.4,Pass
S112,Ash Stuehmeier,11,A,Term 2,85,77,60,85,57,364,500,72.8,Pass
S323,Maible Fosbraey,1,B,Term 2,62,68,99,83,23,335,500,67,Pass
S329,Gwenore Kellegher,1,B,Term 1,54,77,19,48,66,264,500,52.8,Pass
S834,Leonardo Sperski,4,A,Term 1,40,36,99,48,47,270,500,54,Pass
S992,Ricki Rodgerson,2,B,Term 2,23,95,30,64,69,281,500,56.2,Pass
S027,Valina Firmager,7,B,Term 2,30,23,53,40,52,198,500,39.6,Pass
S613,Dulcy Jurkowski,2,A,Term 2,77,59,76,37,94,343,500,68.6,Pass
S004,Whitman Checcuzzi,1,B,Term 2,58,90,57,34,64,303,500,60.6,Pass
S218,Montgomery Sagerson,8,A,Term 2,30,81,73,25,49,258,500,51.6,Pass
S350,Marilin Sier,6,B,Term 2,66,44,50,94,40,294,500,58.8,Pass
S865,Renado Avon,2,B,Term 2,72,83,35,33,53,276,500,55.2,Pass
S216,Sorcha Coop,10,A,Term 1,80,25,99,68,69,341,500,68.2,Pass
S847,Ibrahim Kenwell,9,A,Term 1,87,83,59,21,76,326,500,65.2,Pass
S485,Harry Swalowe,5,A,Term 2,81,32,80,81,62,336,500,67.2,Pass
S889,Howey Fitchet,8,A,Term 2,31,36,36,93,46,242,500,48.4,Pass
S430,Catlin Rowena,11,B,Term 1,77,69,26,57,41,270,500,54,Pass
S277,Emelia Luchetti,1,B,Term 2,42,75,90,20,55,282,500,56.4,Pass
S449,Billy Iacovacci,3,A,Term 2,72,74,54,31,77,308,500,61.6,Pass
S474,Krissie Laxston,8,B,Term 2,65,57,41,84,68,315,500,63,Pass
S432,Viki Bond,11,A,Term 2,90,83,66,71,32,342,500,68.4,Pass
S926,Kaela Gaylard,12,B,Term 1,65,13,23,58,47,206,500,41.2,Pass
S102,Carroll Allred,1,A,Term 1,83,72,93,49,30,327,500,65.4,Pass
S001,Winny Crucitti,2,A,Term 1,20,57,80,37,44,238,500,47.6,Pass
S830,Larry Abson,4,A,Term 2,45,38,56,55,56,250,500,50,Pass
S010,Anthia Evamy,11,A,Term 2,51,90,41,82,27,291,500,58.2,Pass
S888,Eunice Fruen,2,B,Term 1,58,62,92,21,45,278,500,55.6,Pass
S897,Jermain Jelleman,8,B,Term 1,57,89,62,80,34,322,500,64.4,Pass
S716,Gardie Heads,4,A,Term 2,23,66,82,63,47,281,500,56.2,Pass
S465,Sonya Shenfisch,12,A,Term 2,53,79,71,55,36,294,500,58.8,Pass
S359,Rozalin Hulke,9,B,Term 2,53,47,97,59,51,307,500,61.4,Pass
S101,Weston O'Hannen,4,B,Term 1,72,31,38,31,42,214,500,42.8,Pass
S750,Gipsy Khalid,2,A,Term 2,14,53,36,48,77,228,500,45.6,Pass
S333,Northrup Windsor,1,A,Term 1,45,65,88,46,82,326,500,65.2,Pass
S092,Dedie Turn,3,A,Term 1,60,46,63,82,72,323,500,64.6,Pass
S542,Lurlene Winchcombe,11,B,Term 1,29,98,85,28,91,331,500,66.2,Pass
S675,Rodrigo Patterfield,11,A,Term 1,40,88,53,45,42,268,500,53.6,Pass
S902,Paton Upshall,5,A,Term 2,70,17,38,63,37,225,500,45,Pass
S533,Dacey Juan,10,B,Term 2,15,34,80,82,38,249,500,49.8,Pass
S687,Oralia Tilliards,7,B,Term 2,55,49,81,92,52,329,500,65.8,Pass
S364,Ricky Gildroy,5,A,Term 1,55,59,83,65,48,310,500,62,Pass
S624,Tessie Ferraretto,11,A,Term 2,41,89,92,48,23,293,500,58.6,Pass
S327,Hermina Clappson,3,B,Term 2,77,19,63,21,82,262,500,52.4,Pass
S531,Linnell Folonin,8,A,Term 2,73,88,62,96,72,391,500,78.2,Pass
S167,Randolf McNiven,4,A,Term 1,85,89,87,81,88,430,500,86,Pass
S592,Bernardine Bernardt,10,A,Term 2,78,56,60,62,49,305,500,61,Pass
S932,Sterling Ashfold,10,A,Term 1,86,87,31,80,59,343,500,68.6,Pass
S919,Myca Maybey,10,B,Term 1,54,96,99,55,68,372,500,74.4,Pass
S545,Dennison Batter,10,B,Term 1,46,29,43,58,23,199,500,39.8,Pass
S980,Olive Smeeton,5,B,Term 2,71,59,24,80,42,276,500,55.2,Pass
S441,Bonnie Stoad,11,B,Term 1,91,38,91,22,31,273,500,54.6,Pass
S877,Padraig Sey,6,B,Term 1,65,89,96,58,50,358,500,71.6,Pass
S080,Alonzo Bassilashvili,1,A,Term 2,66,82,38,41,70,297,500,59.4,Pass
S802,Cathleen Heustice,4,A,Term 1,68,61,47,80,62,318,500,63.6,Pass
S884,Ramonda Petricek,12,A,Term 1,61,56,44,95,55,311,500,62.2,Pass
S384,Nevins Puttock,2,B,Term 2,43,51,56,81,82,313,500,62.6,Pass
S873,Kennith Lyal,6,A,Term 1,45,73,83,22,39,262,500,52.4,Pass
S454,Benn Elcome,8,A,Term 2,54,51,72,59,36,272,500,54.4,Pass
S254,Bette-ann Keilloh,5,B,Term 1,80,66,48,23,95,312,500,62.4,Pass
S738,Sherm Keasey,6,B,Term 1,66,88,73,27,76,330,500,66,Pass
S765,Ivonne Iliff,12,B,Term 1,58,19,59,64,34,234,500,46.8,Pass
S598,Allin Peat,10,B,Term 1,43,30,58,63,27,221,500,44.2,Pass
S676,Kiel Gratton,8,B,Term 2,77,31,64,47,32,251,500,50.2,Pass
S315,Briney Cayton,2,B,Term 1,91,92,96,89,78,446,500,89.2,Pass
S318,Karole Gostyke,2,A,Term 1,95,87,25,29,46,282,500,56.4,Pass
S683,Bartram Letixier,2,B,Term 2,38,59,73,82,86,338,500,67.6,Pass
S537,Devon Kleiner,8,A,Term 1,74,93,41,39,23,270,500,54,Pass
S476,Danielle Westcarr,5,B,Term 2,45,67,53,67,50,282,500,56.4,Pass
S924,Gertrude Jepson,2,A,Term 2,79,77,84,26,34,300,500,60,Pass
S636,Errol Barnewall,1,A,Term 1,55,52,30,59,88,284,500,56.8,Pass
S055,Frederigo Hallawell,11,A,Term 2,96,87,73,61,27,344,500,68.8,Pass
S159,Anton Levings,10,B,Term 2,14,41,76,37,72,240,500,48,Pass
S716,Berkly Allcroft,3,A,Term 2,49,58,92,84,44,327,500,65.4,Pass
S622,Diane Thonger,4,B,Term 1,83,35,42,32,79,271,500,54.2,Pass
S791,Ailene Dericut,8,B,Term 1,49,65,35,65,89,303,500,60.6,Pass
S558,Stormy Curgenven,1,A,Term 1,16,42,89,32,61,240,500,48,Pass
S106,Nico Baumer,12,A,Term 2,83,97,98,81,54,413,500,82.6,Pass
S533,George Stihl,11,B,Term 1,71,79,46,58,94,348,500,69.6,Pass
S700,Robinetta Yushkin,7,A,Term 1,32,77,93,33,43,278,500,55.6,Pass
S369,Cissiee Marton,7,A,Term 2,65,29,96,45,64,299,500,59.8,Pass
S097,Viki Trank,11,A,Term 2,31,16,39,70,54,210,500,42,Pass
S006,Gradey O'Hagan,4,A,Term 1,30,18,56,28,36,168,500,33.6,Pass
S618,Bidget Spickett,2,A,Term 1,30,14,67,82,62,255,500,51,Pass
S307,Ira Bushel,1,A,Term 2,63,27,55,84,24,253,500,50.6,Pass
S400,Thekla Gallyon,3,B,Term 1,93,30,35,78,27,263,500,52.6,Pass
S234,Putnem Muddiman,9,B,Term 2,29,13,97,69,56,264,500,52.8,Pass
S356,Cindi Menzies,2,A,Term 1,59,91,45,97,80,372,500,74.4,Pass
S514,Carling Skokoe,11,B,Term 1,88,15,52,94,56,305,500,61,Pass
S673,Catherin Haverty,3,B,Term 1,33,36,81,40,30,220,500,44,Pass
S132,Nikolos Clarkin,11,B,Term 2,95,81,51,24,83,334,500,66.8,Pass
S372,Madella Curry,1,A,Term 1,81,13,28,54,25,201,500,40.2,Pass
S995,Olivier Degoe,8,A,Term 2,21,20,24,64,28,157,500,31.4,Fail
S887,Ede Honniebal,4,A,Term 1,31,95,73,60,62,321,500,64.2,Pass
S898,Batholomew Hallor,10,A,Term 1,87,91,22,67,79,346,500,69.2,Pass
S466,Ardenia Couttes,8,A,Term 2,74,79,28,47,23,251,500,50.2,Pass
S107,Morgen Pennini,8,B,Term 1,67,17,61,22,25,192,500,38.4,Pass
S230,Greggory Toope,7,B,Term 1,91,92,84,25,24,316,500,63.2,Pass
S506,Melesa Gillyatt,12,A,Term 2,69,64,79,81,95,388,500,77.6,Pass
S920,Olympe Moen,2,B,Term 1,17,33,49,97,94,290,500,58,Pass
S920,Sharity Sherrett,7,A,Term 2,20,73,83,34,88,298,500,59.6,Pass
S521,Rosa Manhood,12,A,Term 2,61,41,99,30,77,308,500,61.6,Pass
S269,Cly Giacomelli,10,A,Term 2,72,87,43,28,81,311,500,62.2,Pass
S205,Fitzgerald Tovey,4,B,Term 1,48,87,48,50,31,264,500,52.8,Pass
S960,Mufi Jonin,3,B,Term 2,78,82,86,55,83,384,500,76.8,Pass
S189,Norah Rieflin,7,B,Term 1,28,22,47,64,91,252,500,50.4,Pass
S763,Jeremie Bugdall,6,A,Term 2,77,95,33,75,81,361,500,72.2,Pass
S772,Andrus Wimpey,4,B,Term 1,49,42,99,46,81,317,500,63.4,Pass
S927,Candi Androlli,11,A,Term 1,57,65,52,58,95,327,500,65.4,Pass
S816,Ania Patriche,2,B,Term 1,74,33,38,87,91,323,500,64.6,Pass
S417,Welby Wallhead,8,B,Term 1,78,64,60,22,39,263,500,52.6,Pass
S524,Hazel Parrett,7,A,Term 1,98,40,63,69,75,345,500,69,Pass
S692,Rhoda Schachter,10,B,Term 2,79,94,56,71,29,329,500,65.8,Pass
S366,Jayson Dysart,10,B,Term 2,76,77,65,67,26,311,500,62.2,Pass
S833,Costanza Hadden,3,B,Term 2,16,49,85,64,48,262,500,52.4,Pass
S781,Walther Elion,11,A,Term 1,95,55,69,23,57,299,500,59.8,Pass
S984,Berta Blunderfield,7,B,Term 1,70,44,74,30,70,288,500,57.6,Pass
S659,Darrelle Dee,10,A,Term 1,31,65,41,74,30,241,500,48.2,Pass
S171,Debby Blunderfield,11,B,Term 2,41,43,57,31,61,233,500,46.6,Pass
S321,Ursuline Ramsted,2,B,Term 2,79,25,20,80,84,288,500,57.6,Pass
S813,Raven Pateman,6,B,Term 1,20,31,28,27,29,135,500,27,Fail
S300,Mavra Lyver,10,B,Term 2,32,46,37,24,83,222,500,44.4,Pass
S322,Gypsy Croot,11,B,Term 2,66,17,68,20,47,218,500,43.6,Pass
S582,Dee Breckon,3,B,Term 1,33,62,60,83,86,324,500,64.8,Pass
S176,Georgi Gouldsmith,1,A,Term 2,28,74,70,23,62,257,500,51.4,Pass
S401,Parrnell Lansdown,1,A,Term 1,17,58,21,76,72,244,500,48.8,Pass
S320,Michelina McMyler,4,A,Term 1,76,71,87,62,42,338,500,67.6,Pass
S937,Berti Ablett,12,A,Term 1,72,51,72,27,29,251,500,50.2,Pass
S602,Halsey Gloves,1,A,Term 2,16,78,84,36,59,273,500,54.6,Pass
S916,Karel Paudin,4,B,Term 2,98,44,91,35,77,345,500,69,Pass
S619,Emogene Tace,7,B,Term 2,40,81,62,49,47,279,500,55.8,Pass
S939,Filberte MacAlpine,7,A,Term 2,75,18,25,60,37,215,500,43,Pass
S349,Ara Ellam,5,B,Term 2,90,92,76,49,27,334,500,66.8,Pass
S297,Jamey Gibson,2,B,Term 2,40,84,71,74,92,361,500,72.2,Pass
S060,Nigel Fencott,10,B,Term 1,65,61,71,28,80,305,500,61,Pass
S999,Allyson Thewys,6,B,Term 2,76,26,87,44,44,277,500,55.4,Pass
S772,Hobart Jannex,5,A,Term 2,35,96,53,78,84,346,500,69.2,Pass
S960,Cristie Skeemer,5,A,Term 2,74,35,46,76,52,283,500,56.6,Pass
S395,Arlen McKnockiter,8,B,Term 1,44,24,82,34,86,270,500,54,Pass
S801,Seline Jewell,4,A,Term 1,89,85,30,57,86,347,500,69.4,Pass
S524,Cindra Ivanichev,1,B,Term 1,88,70,96,24,88,366,500,73.2,Pass
S284,Kania Rentcome,6,B,Term 2,61,12,83,57,53,266,500,53.2,Pass
S626,Anjela Riepl,11,B,Term 1,22,21,51,24,44,162,500,32.4,Fail
S390,Bernhard Kleiner,11,B,Term 1,15,47,65,24,24,175,500,35,Pass
S100,Chery Frohock,7,B,Term 1,32,38,28,23,48,169,500,33.8,Pass
S949,Ophelie Tomashov,8,A,Term 2,35,65,54,33,80,267,500,53.4,Pass
S206,Hal Skamell,2,B,Term 1,28,53,70,96,50,297,500,59.4,Pass
S493,Gabriell Linneman,10,B,Term 1,61,28,34,57,45,225,500,45,Pass
S153,Lorrie Ree,6,B,Term 2,15,66,79,25,84,269,500,53.8,Pass
S615,Josi Plomer,10,A,Term 2,32,40,68,77,86,303,500,60.6,Pass
S840,Jorrie Pioch,12,B,Term 1,53,65,20,59,63,260,500,52,Pass
S867,Linea Roseveare,5,B,Term 2,35,60,44,27,52,218,500,43.6,Pass
S189,Gweneth Kalisz,11,B,Term 2,55,53,31,75,73,287,500,57.4,Pass
S757,Roda Sunnex,7,A,Term 2,49,79,60,77,78,343,500,68.6,Pass
S428,Marilin Cortes,6,A,Term 1,73,84,84,78,89,408,500,81.6,Pass
S995,Kevan Scala,8,A,Term 1,47,59,99,41,30,276,500,55.2,Pass
S397,Milicent Cowser,12,A,Term 2,83,50,64,46,69,312,500,62.4,Pass
S139,Editha Legendre,8,B,Term 1,82,60,43,78,61,324,500,64.8,Pass
S464,Abel Quantrill,4,A,Term 2,71,30,54,90,93,338,500,67.6,Pass
S584,Jamie Wellsman,9,B,Term 1,48,77,63,91,43,322,500,64.4,Pass
S911,Winni Forstall,11,B,Term 2,85,57,53,62,48,305,500,61,Pass
S197,Patsy McNay,3,A,Term 2,91,22,37,68,54,272,500,54.4,Pass
S672,Leora Brislawn,9,B,Term 1,43,79,38,68,42,270,500,54,Pass
S065,Davey Stenton,5,A,Term 2,64,95,43,75,30,307,500,61.4,Pass
